No.,Name,Ability1,Ability2,Hidden_Ability,Type1,Type2,HP,Att,Def,S.Att,S.Def,Spd,Weight_kg,Height_m,Weight_lbs,Height_ft,Cap_Rate,Egg_Steps,Classification,Legendary
182,Meowth,Pickup,Tough Claws,Unnerve,steel,NaN,50,65,55,40,40,40,4.2,0.4,9.3,1.333,255,5120,Scratch Cat Pokémon,0
183,Perrserker,Battle Armor,Tough Claws,Steely Spirit,steel,NaN,70,110,100,50,60,50,28,0.8,61.7,2.583,90,5120,Viking Pokémon,0
184,Persian,Limber,Technician,Unnerve,normal,NaN,65,70,60,65,65,115,32,1,70.5,3.25,90,5120,Classy Cat Pokémon,0
185,Milcery,Sweet Veil,NaN,Aroma Veil,fairy,NaN,45,40,40,50,61,34,0.3,0.2,0.7,0.667,200,5120,Cream Pokémon,0
186,Alcremie,Sweet Veil,NaN,Aroma Veil,fairy,NaN,65,60,75,110,121,64,0.5,0.3,1.1,1,100,5120,Cream Pokémon,0
187,Cutiefly,Honey Gather,Shield Dust,Sweet Veil,bug,fairy,40,45,40,55,40,84,0.2,0.1,0.4,0.333,190,5120,Bee Fly Pokémon,0
188,Ribombee,Honey Gather,Shield Dust,Sweet Veil,bug,fairy,60,55,60,95,70,124,0.5,0.2,1.1,0.667,75,5120,Bee Fly Pokémon,0
189,Ferroseed,Iron Barbs,NaN,NaN,grass,steel,44,50,91,24,86,10,18.8,0.6,41.4,2,255,5120,Thorn Seed Pokémon,0
190,Ferrothorn,Iron Barbs,NaN,Anticipation,grass,steel,74,94,131,54,116,20,110,1,242.5,3.25,90,5120,Thorn Pod Pokémon,0
191,Pumpkaboo,Pickup,Frisk,Insomnia,ghost,grass,49,66,70,44,55,51,5,0.4,11,1.333,120,5120,Pumpkin Pokémon,0
192,Gourgeist,Pickup,Frisk,Insomnia,ghost,grass,65,90,122,58,75,84,12.5,0.9,27.6,2.917,60,5120,Pumpkin Pokémon,0
193,Pichu,Static,NaN,Lightning Rod,electric,NaN,20,40,15,35,35,60,2,0.3,4.4,1,190,2560,Tiny Mouse Pokémon,0
194,Pikachu,Static,NaN,Lightning Rod,electric,NaN,35,55,40,50,50,90,6,0.4,13.2,1.333,190,2560,Mouse Pokémon,0
195,Raichu,Static,NaN,Lightning Rod,electric,NaN,60,90,55,90,80,110,30,0.8,66.1,2.583,75,2560,Mouse Pokémon,0
196,Eevee,Run Away,Adaptability,Anticipation,normal,NaN,55,55,50,45,65,55,6.5,0.3,14.3,1,45,8960,Evolution Pokémon,0
197,Vaporeon,Water Absorb,NaN,Hydration,water,NaN,130,65,60,110,95,65,29,1,63.9,3.25,45,8960,Bubble Jet Pokémon,0
198,Jolteon,Volt Absorb,NaN,Quick Feet,electric,NaN,65,65,60,110,95,130,24.5,0.8,54,2.583,45,8960,Lightning Pokémon,0
199,Flareon,Flash Fire,NaN,Guts,fire,NaN,65,130,60,95,110,65,25,0.9,55.1,2.917,45,8960,Flame Pokémon,0
200,Espeon,Synchronize,NaN,Magic Bounce,psychic,NaN,65,65,60,130,95,110,26.5,0.9,58.4,2.917,45,8960,Sun Pokémon,0
201,Umbreon,Synchronize,NaN,Inner Focus,dark,NaN,95,65,110,60,130,65,27,1,59.5,3.25,45,8960,Moonlight Pokémon,0
202,Leafeon,Leaf Guard,NaN,Chlorophyll,grass,NaN,65,110,130,60,65,95,25.5,1,56.2,3.25,45,8960,Verdant Pokémon,0
203,Glaceon,Snow Cloak,NaN,Ice Body,ice,NaN,65,60,110,130,95,65,25.9,0.8,57.1,2.583,45,8960,Fresh Snow Pokémon,0
204,Sylveon,Cute Charm,NaN,Pixilate,fairy,NaN,95,65,65,110,130,60,23.5,1,51.8,3.25,45,8960,Intertwining Pokémon,0
205,Applin,Ripen,Gluttony,Bulletproof,grass,dragon,40,40,80,40,40,20,0.5,0.2,1.1,0.667,255,5120,Apple Core Pokémon,0
206,Flapple,Ripen,Gluttony,Hustle,grass,dragon,70,110,80,95,60,70,1,0.3,2.2,1,45,5120,Apple Wing Pokémon,0
207,Appletun,Ripen,Gluttony,Thick Fat,grass,dragon,110,85,80,100,80,30,13,0.4,28.7,1.333,45,5120,Apple Nectar Pokémon,0
208,Espurr,Keen Eye,Infiltrator,Own Tempo,psychic,NaN,62,48,54,63,60,68,3.5,0.3,7.7,1,190,5120,Restraint Pokémon,0
209,Meowstic,Keen Eye,Infiltrator,Prankster,psychic,NaN,74,48,76,83,81,104,8.5,0.6,18.7,2,75,5120,Constraint Pokémon,0
210,Swirlix,Sweet Veil,NaN,Unburden,fairy,NaN,62,48,66,59,57,49,3.5,0.4,7.7,1.333,200,5120,Cotton Candy Pokémon,0
211,Slurpuff,Sweet Veil,NaN,Unburden,fairy,NaN,82,80,86,85,75,72,5,0.8,11,2.583,140,5120,Meringue Pokémon,0
212,Spritzee,Healer,NaN,Aroma Veil,fairy,NaN,78,52,60,63,65,23,0.5,0.2,1.1,0.667,200,5120,Perfume Pokémon,0
213,Aromatisse,Healer,NaN,Aroma Veil,fairy,NaN,101,72,72,99,89,29,15.5,0.8,34.2,2.583,140,5120,Fragrance Pokémon,0
214,Dewpider,Water Bubble,NaN,Water Absorb,water,bug,38,40,52,40,72,27,4,0.3,8.8,1,200,3840,Water Bubble Pokémon,0
215,Araquanid,Water Bubble,NaN,Water Absorb,water,bug,68,70,92,50,132,42,82,1.8,180.8,5.917,100,3840,Water Bubble Pokémon,0
216,Wynaut,Shadow Tag,NaN,Telepathy,psychic,NaN,95,23,48,23,48,23,14,0.6,30.9,2,125,5120,Bright Pokémon,0
217,Wobbuffet,Shadow Tag,NaN,Telepathy,psychic,NaN,190,33,58,33,58,33,28.5,1.3,62.8,4.25,45,5120,Patient Pokémon,0
218,Farfetchd,Steadfast,NaN,Scrappy,fighting,NaN,52,95,55,58,62,55,15,0.8,33.1,2.583,45,5120,Wild Duck Pokémon,0
219,Sirfetchd,Steadfast,NaN,Scrappy,fighting,NaN,62,135,95,68,82,65,117,0.8,257.9,2.583,45,5120,Wild Duck Pokémon,0
220,Chinchou,Volt Absorb,Illuminate,Water Absorb,water,electric,75,38,38,56,56,67,12,0.5,26.5,1.667,190,5120,Angler Pokémon,0
221,Lanturn,Volt Absorb,Illuminate,Water Absorb,water,electric,125,58,58,76,76,67,22.5,1.2,49.6,3.917,75,5120,Light Pokémon,0
222,Croagunk,Anticipation,Dry Skin,Poison Touch,poison,fighting,48,61,40,61,40,50,23,0.7,50.7,2.333,140,2560,Toxic Mouth Pokémon,0
223,Toxicroak,Anticipation,Dry Skin,Poison Touch,poison,fighting,83,106,65,86,65,85,44.4,1.3,97.9,4.25,75,5120,Toxic Mouth Pokémon,0
224,Scraggy,Shed Skin,Moxie,Intimidate,dark,fighting,50,75,70,35,70,48,11.8,0.6,26,2,180,3840,Shedding Pokémon,0
225,Scrafty,Shed Skin,Moxie,Intimidate,dark,fighting,65,90,115,45,115,58,30,1.1,66.1,3.583,90,3840,Hoodlum Pokémon,0
226,Stunfisk,Mimicry,NaN,NaN,ground,steel,109,81,99,66,84,32,11,0.7,24.3,2.333,75,5120,Trap Pokémon,0
227,Shuckle,Sturdy,Gluttony,Contrary,bug,rock,20,10,230,10,230,5,20.5,0.6,45.2,2,190,5120,Mold Pokémon,0
228,Barboach,Oblivious,Anticipation,Hydration,water,ground,50,48,43,46,41,60,1.9,0.4,4.2,1.333,190,5120,Whiskers Pokémon,0
229,Whiscash,Oblivious,Anticipation,Hydration,water,ground,110,78,73,76,71,60,23.6,0.9,52,2.917,75,5120,Whiskers Pokémon,0
230,Shellos,Sticky Hold,Storm Drain,Sand Force,water,NaN,76,48,48,57,62,34,6.3,0.3,13.9,1,190,5120,Sea Slug Pokémon,0
231,Gastrodon,Sticky Hold,Storm Drain,Sand Force,water,ground,111,83,68,92,82,39,29.9,0.9,65.9,2.917,75,5120,Sea Slug Pokémon,0
232,Wimpod,Wimp Out,NaN,NaN,bug,water,25,35,40,20,30,80,12,0.5,26.5,1.667,90,5120,Turn Tail Pokémon,0
233,Golisopod,Emergency Exit,NaN,NaN,bug,water,75,125,140,60,90,40,108,2,238.1,6.583,45,5120,Hard Scale Pokémon,0
234,Binacle,Tough Claws,Sniper,Pickpocket,rock,water,42,52,67,39,56,50,31,0.5,68.3,1.667,120,5120,Two-Handed Pokémon,0
235,Barbaracle,Tough Claws,Sniper,Pickpocket,rock,water,72,105,115,54,86,68,96,1.3,211.6,4.25,45,5120,Collective Pokémon,0
236,Corsola,Weak Armor,NaN,Cursed Body,ghost,NaN,60,55,100,65,100,30,5,0.6,11,2,60,5120,Coral Pokémon,0
237,Cursola,Weak Armor,NaN,Perish Body,ghost,NaN,60,95,50,145,130,30,0.4,1,0.9,3.25,30,5120,Coral Pokémon,0
238,Impidimp,Prankster,Frisk,Pickpocket,dark,fairy,45,45,30,55,40,50,5.5,0.4,12.1,1.333,255,5120,Wily Pokémon,0
239,Morgrem,Prankster,Frisk,Pickpocket,dark,fairy,65,60,45,75,55,70,12.5,0.8,27.6,2.583,120,5120,Devious Pokémon,0
240,Grimmsnarl,Prankster,Frisk,Pickpocket,dark,fairy,95,120,65,95,75,60,61,1.5,134.5,4.917,45,5120,Bulk Up Pokémon,0
241,Hatenna,Healer,Anticipation,Magic Bounce,psychic,NaN,42,30,45,56,53,39,3.4,0.4,7.5,1.333,235,5120,Calm Pokémon,0
242,Hattrem,Healer,Anticipation,Magic Bounce,psychic,NaN,57,40,65,86,73,49,4.8,0.6,10.6,2,120,5120,Serene Pokémon,0
243,Hatterene,Healer,Anticipation,Magic Bounce,psychic,fairy,57,90,95,136,103,29,5.1,2.1,11.2,6.917,45,5120,Silent Pokémon,0
244,Salandit,Corrosion,NaN,Oblivious,poison,fire,48,44,40,71,40,77,4.8,0.6,10.6,2,120,5120,Toxic Lizard Pokémon,0
245,Salazzle,Corrosion,NaN,Oblivious,poison,fire,68,64,60,111,60,117,22.2,1.2,48.9,3.917,45,5120,Toxic Lizard Pokémon,0
246,Pawniard,Defiant,Inner Focus,Pressure,dark,steel,45,85,70,40,40,60,10.2,0.5,22.5,1.667,120,5120,Sharp Blade Pokémon,0
247,Bisharp,Defiant,Inner Focus,Pressure,dark,steel,65,125,100,60,70,70,70,1.6,154.3,5.25,45,5120,Sword Blade Pokémon,0
248,Throh,Guts,Inner Focus,Mold Breaker,fighting,NaN,120,100,85,30,85,45,55.5,1.3,122.4,4.25,45,5120,Judo Pokémon,0
249,Sawk,Sturdy,Inner Focus,Mold Breaker,fighting,NaN,75,125,75,30,75,85,51,1.4,112.4,4.583,45,5120,Karate Pokémon,0
250,Koffing,Levitate,Neutralizing Gas,Stench,poison,NaN,40,65,95,60,45,35,1,0.6,2.2,2,190,5120,Poison Gas Pokémon,0
251,Weezing,Levitate,Neutralizing Gas,Misty Surge,poison,fairy,65,90,120,85,70,60,9.5,1.2,20.9,3.917,60,5120,Poison Gas Pokémon,0
252,Bonsly,Sturdy,Rock Head,Rattled,rock,NaN,50,80,95,10,45,10,15,0.5,33.1,1.667,255,5120,Bonsai Pokémon,0
253,Sudowoodo,Sturdy,Rock Head,Rattled,rock,NaN,70,100,115,30,65,30,38,1.2,83.8,3.917,65,5120,Imitation Pokémon,0
254,Cleffa,Cute Charm,Magic Guard,Friend Guard,fairy,NaN,50,25,28,45,55,15,3,0.3,6.6,1,150,2560,Star Shape Pokémon,0
255,Clefairy,Cute Charm,Magic Guard,Friend Guard,fairy,NaN,70,45,48,60,65,35,7.5,0.6,16.5,2,150,2560,Fairy Pokémon,0
256,Clefable,Cute Charm,Magic Guard,Unaware,fairy,NaN,95,70,73,95,90,60,40,1.3,88.2,4.25,25,2560,Fairy Pokémon,0
257,Togepi,Hustle,Serene Grace,Super Luck,fairy,NaN,35,20,65,40,65,20,1.5,0.3,3.3,1,190,2560,Spike Ball Pokémon,0
258,Togetic,Hustle,Serene Grace,Super Luck,fairy,flying,55,40,85,80,105,40,3.2,0.6,7.1,2,75,2560,Happiness Pokémon,0
259,Togekiss,Hustle,Serene Grace,Super Luck,fairy,flying,85,50,95,120,115,80,38,1.5,83.8,4.917,30,2560,Jubilee Pokémon,0
260,Munchlax,Pickup,Thick Fat,Gluttony,normal,NaN,135,85,40,40,85,5,105,0.6,231.5,2,50,10240,Big Eater Pokémon,0
261,Snorlax,Immunity,Thick Fat,Gluttony,normal,NaN,160,110,65,65,110,30,460,2.1,1014.1,6.917,25,10240,Sleeping Pokémon,0
262,Cottonee,Prankster,Infiltrator,Chlorophyll,grass,fairy,40,27,60,37,50,66,0.6,0.3,1.3,1,190,5120,Cotton Puff Pokémon,0
263,Whimsicott,Prankster,Infiltrator,Chlorophyll,grass,fairy,60,67,85,77,75,116,6.6,0.7,14.6,2.333,75,5120,Windveiled Pokémon,0
264,Rhyhorn,Lightning Rod,Rock Head,Reckless,ground,rock,80,85,95,30,30,25,115,1,253.5,3.25,120,5120,Spikes Pokémon,0
265,Rhydon,Lightning Rod,Rock Head,Reckless,ground,rock,105,130,120,45,45,40,120,1.9,264.6,6.25,60,5120,Drill Pokémon,0
266,Rhyperior,Lightning Rod,Solid Rock,Reckless,ground,rock,115,140,130,55,55,40,282.8,2.4,623.5,7.833,30,5120,Drill Pokémon,0
267,Gothita,Frisk,Competitive,Shadow Tag,psychic,NaN,45,30,50,55,65,45,5.8,0.4,12.8,1.333,200,5120,Fixation Pokémon,0
268,Gothorita,Frisk,Competitive,Shadow Tag,psychic,NaN,60,45,70,75,85,55,18,0.7,39.7,2.333,100,5120,Manipulate Pokémon,0
269,Gothitelle,Frisk,Competitive,Shadow Tag,psychic,NaN,70,55,95,95,110,65,44,1.5,97,4.917,50,5120,Astral Body Pokémon,0
270,Solosis,Overcoat,Magic Guard,Regenerator,psychic,NaN,45,30,40,105,50,20,1,0.3,2.2,1,200,5120,Cell Pokémon,0
271,Duosion,Overcoat,Magic Guard,Regenerator,psychic,NaN,65,40,50,125,60,30,8,0.6,17.6,2,100,5120,Mitosis Pokémon,0
272,Reuniclus,Overcoat,Magic Guard,Regenerator,psychic,NaN,110,65,75,125,85,30,20.1,1,44.3,3.25,50,5120,Multiplying Pokémon,0
273,Karrablast,Swarm,Shed Skin,No Guard,bug,NaN,50,75,45,40,45,60,5.9,0.5,13,1.667,200,3840,Clamping Pokémon,0
274,Escavalier,Swarm,Shell Armor,Overcoat,bug,steel,70,135,105,60,105,20,33,1,72.8,3.25,75,3840,Cavalry Pokémon,0
275,Shelmet,Hydration,Shell Armor,Overcoat,bug,NaN,50,40,85,40,65,25,7.7,0.4,17,1.333,200,3840,Snail Pokémon,0
276,Accelgor,Hydration,Sticky Hold,Unburden,bug,NaN,80,70,40,100,60,145,25.3,0.8,55.8,2.583,75,3840,Shell Out Pokémon,0
277,Elgyem,Telepathy,Synchronize,Analytic,psychic,NaN,55,55,55,85,55,30,9,0.5,19.8,1.667,255,5120,Cerebral Pokémon,0
278,Beheeyem,Telepathy,Synchronize,Analytic,psychic,NaN,75,75,75,125,95,40,34.5,1,76.1,3.25,90,5120,Cerebral Pokémon,0
279,Cubchoo,Snow Cloak,Slush Rush,Rattled,ice,NaN,55,70,40,60,40,40,8.5,0.5,18.7,1.667,120,5120,Chill Pokémon,0
280,Beartic,Snow Cloak,Slush Rush,Swift Swim,ice,NaN,95,130,80,70,80,50,260,2.6,573.2,8.5,60,5120,Freezing Pokémon,0
281,Rufflet,Keen Eye,Sheer Force,Hustle,normal,flying,70,83,50,37,50,60,10.5,0.5,23.1,1.667,190,5120,Eaglet Pokémon,0
282,Braviary,Keen Eye,Sheer Force,Defiant,normal,flying,100,123,75,57,75,80,41,1.5,90.4,4.917,60,5120,Valiant Pokémon,0
283,Vullaby,Big Pecks,Overcoat,Weak Armor,dark,flying,70,55,75,45,65,60,9,0.5,19.8,1.667,190,5120,Diapered Pokémon,0
284,Mandibuzz,Big Pecks,Overcoat,Weak Armor,dark,flying,110,65,105,55,95,80,39.5,1.2,87.1,3.917,60,5120,Bone Vulture Pokémon,0
285,Skorupi,Battle Armor,Sniper,Keen Eye,poison,bug,40,50,90,30,55,65,12,0.8,26.5,2.583,120,5120,Scorpion Pokémon,0
286,Drapion,Battle Armor,Sniper,Keen Eye,poison,dark,70,90,110,60,75,95,61.5,1.3,135.6,4.25,45,5120,Ogre Scorp Pokémon,0
287,Litwick,Flash Fire,Flame Body,Infiltrator,ghost,fire,50,30,55,65,55,20,3.1,0.3,6.8,1,190,5120,Candle Pokémon,0
288,Lampent,Flash Fire,Flame Body,Infiltrator,ghost,fire,60,40,60,95,60,55,13,0.6,28.7,2,90,5120,Lamp Pokémon,0
289,Chandelure,Flash Fire,Flame Body,Infiltrator,ghost,fire,60,55,90,145,90,80,34.3,1,75.6,3.25,45,5120,Luring Pokémon,0
290,Inkay,Contrary,Suction Cups,Infiltrator,dark,psychic,53,54,53,37,46,45,3.5,0.4,7.7,1.333,190,5120,Revolving Pokémon,0
291,Malamar,Contrary,Suction Cups,Infiltrator,dark,psychic,86,92,88,68,75,73,47,1.5,103.6,4.917,80,5120,Overturning Pokémon,0
292,Sneasel,Inner Focus,Keen Eye,Pickpocket,dark,ice,55,95,55,35,75,115,28,0.9,61.7,2.917,60,5120,Sharp Claw Pokémon,0
293,Weavile,Pressure,NaN,Pickpocket,dark,ice,70,120,65,45,85,125,34,1.1,75,3.583,45,5120,Sharp Claw Pokémon,0
294,Sableye,Keen Eye,Stall,Prankster,dark,ghost,50,75,75,65,65,50,11,0.5,24.3,1.667,45,6400,Darkness Pokémon,0
295,Mawile,Hyper Cutter,Intimidate,Sheer Force,steel,fairy,50,85,85,55,55,50,11.5,0.6,25.4,2,45,5120,Deceiver Pokémon,0
296,Maractus,Water Absorb,Chlorophyll,Storm Drain,grass,NaN,75,86,67,106,67,60,28,1,61.7,3.25,255,5120,Cactus Pokémon,0
297,Sigilyph,Wonder Skin ,Magic Guard,Tinted Lens,psychic,flying,72,58,80,103,80,97,14,1.4,30.9,4.583,45,5120,Avianoid Pokémon,0
298,Riolu,Steadfast,Inner Focus,Prankster,fighting,NaN,40,70,40,35,40,60,20.2,0.7,44.5,2.333,75,6400,Emanation Pokémon,0
299,Lucario,Steadfast,Inner Focus,Justified,fighting,steel,70,110,70,115,70,90,54,1.2,119,3.917,45,6400,Aura Pokémon,0
300,Torkoal,White Smoke,Drought,Shell Armor,fire,NaN,70,85,140,85,70,20,80.4,0.5,177.2,1.667,90,5120,Coal Pokémon,0
301,Mimikyu,Disguise,NaN,NaN,ghost,fairy,55,90,80,50,105,96,0.7,0.2,1.5,0.667,45,5120,Disguise Pokémon,0
302,Cufant,Sheer Force,NaN,Heavy Metal,steel,NaN,72,80,49,40,49,40,100,1.2,220.5,3.917,190,6400,Copperderm Pokémon,0
303,Copperajah,Sheer Force,NaN,Heavy Metal,steel,NaN,122,130,69,80,69,30,650,3,1433,9.833,90,6400,Copperderm Pokémon,0
304,Qwilfish,Poison Point,Swift Swim,Intimidate,water,poison,65,95,85,55,55,85,3.9,0.5,8.6,1.667,45,5120,Balloon Pokémon,0
305,Frillish,Water Absorb,Cursed Body,Damp,water,ghost,55,40,50,65,85,40,33,1.2,72.8,3.917,190,5120,Floating Pokémon,0
306,Jellicent,Water Absorb,Cursed Body,Damp,water,ghost,100,60,70,85,105,60,135,2.2,297.6,7.25,60,5120,Floating Pokémon,0
307,Mareanie,Merciless,Limber,Regenerator,poison,water,50,53,62,43,52,45,8,0.4,17.6,1.333,190,5120,Brutal Star Pokémon,0
308,Toxapex,Merciless,Limber,Regenerator,poison,water,50,63,152,53,142,35,14.5,0.7,32,2.333,75,5120,Brutal Star Pokémon,0
309,Cramorant,Gulp Missile,NaN,NaN,flying,water,70,85,55,85,95,85,18,0.8,39.7,2.583,45,5120,Gulp Pokémon,0
310,Toxel,Rattled,Static,Klutz,electric,poison,40,38,35,54,35,40,11,0.4,24.3,1.333,75,6400,Baby Pokémon,0
311,Toxtricity,Punk Rock,Plus,Technician,electric,poison,75,98,70,114,70,75,40,1.6,88.2,5.25,45,6400,Punk Pokémon,0
312,Silicobra,Sand Spit,Shed Skin,Sand Veil,ground,NaN,52,57,75,35,50,46,7.6,2.2,16.8,7.25,255,5120,Sand Snake Pokémon,0
313,Sandaconda,Sand Spit,Shed Skin,Sand Veil,ground,NaN,72,107,125,65,70,71,65.5,3.8,144.4,12.5,120,5120,Sand Snake Pokémon,0
314,Hippopotas,Sand Stream,NaN,Sand Force,ground,NaN,68,72,78,38,42,32,49.5,0.8,109.1,2.583,140,7680,Hippo Pokémon,0
315,Hippowdon,Sand Stream,NaN,Sand Force,ground,NaN,108,112,118,68,72,47,300,2,661.4,6.583,60,7680,Heavyweight Pokémon,0
316,Durant,Swarm,Hustle,Truant,bug,steel,58,109,112,48,48,109,33,0.3,72.8,1,90,5120,Iron Ant Pokémon,0
317,Heatmor,Gluttony,Flash Fire,White Smoke,fire,NaN,85,97,66,105,66,65,58,1.4,127.9,4.583,90,5120,Anteater Pokémon,0
318,Helioptile,Dry Skin,Sand Veil,Solar Power,electric,normal,44,38,33,61,43,70,6,0.5,13.2,1.667,190,5120,Generator Pokémon,0
319,Heliolisk,Dry Skin,Sand Veil,Solar Power,electric,normal,62,55,52,109,94,109,21,1,46.3,3.25,75,5120,Generator Pokémon,0
320,Hawlucha,Limber,Unburden,Mold Breaker,fighting,flying,78,92,75,74,63,118,21.5,0.8,47.4,2.583,100,5120,Wrestling Pokémon,0
321,Trapinch,Hyper Cutter,Arena Trap,Sheer Force,ground,NaN,45,100,45,45,45,10,15,0.7,33.1,2.333,255,5120,Ant Pit Pokémon,0
322,Vibrava,Levitate,NaN,NaN,ground,dragon,50,70,50,50,50,70,15.3,1.1,33.7,3.583,120,5120,Vibration Pokémon,0
323,Flygon,Levitate,NaN,NaN,ground,dragon,80,100,80,80,80,100,82,2,180.8,6.583,45,5120,Mystic Pokémon,0
324,Axew,Rivalry,Mold Breaker,Unnerve,dragon,NaN,46,87,60,30,40,57,18,0.6,39.7,2,75,10240,Tusk Pokémon,0
325,Fraxure,Rivalry,Mold Breaker,Unnerve,dragon,NaN,66,117,70,40,50,67,36,1,79.4,3.25,60,10240,Axe Jaw Pokémon,0
326,Haxorus,Rivalry,Mold Breaker,Unnerve,dragon,NaN,76,147,90,60,70,97,105.5,1.8,232.6,5.917,45,10240,Axe Jaw Pokémon,0
327,Yamask,Wandering Spirit,NaN,NaN,ground,ghost,38,55,85,30,65,30,1.5,0.5,3.3,1.667,190,6400,Spirit Pokémon,0
328,Runerigus,Wandering Spirit,NaN,NaN,ground,ghost,58,95,145,50,105,30,66.6,1.6,146.8,5.25,90,6400,Grudge Pokémon,0
329,Cofagrigus,Mummy,NaN,NaN,ghost,NaN,58,50,145,95,105,30,76.5,1.7,168.7,5.583,90,6400,Coffin Pokémon,0
330,Honedge,No Guard,NaN,NaN,steel,ghost,45,80,100,35,37,28,2,0.8,4.4,2.583,180,5120,Sword Pokémon,0
331,Doublade,No Guard,NaN,NaN,steel,ghost,59,110,150,45,49,35,4.5,0.8,9.9,2.583,90,5120,Sword Pokémon,0
332,Aegislash,Stance Change,NaN,NaN,steel,ghost,60,50,140,50,140,60,53,1.7,116.8,5.583,45,5120,Royal Sword Pokémon,0
333,Ponyta,Run Away,Pastel Veil,Anticipation,psychic,NaN,50,85,55,65,65,90,30,1,66.1,3.25,190,5120,Fire Horse Pokémon (Kantonian)Unique Horn Pokémonn (Galarian),0
334,Rapidash,Run Away,Pastel Veil,Anticipation,psychic,fairy,65,100,70,80,80,105,95,1.7,209.4,5.583,60,5120,Fire Horse Pokémon (Kantonian)Unique Horn Pokémonn (Galarian),0
335,Sinistea,Weak Armor,NaN,Cursed Body,ghost,NaN,40,45,45,74,54,50,0.2,0.1,0.4,0.333,120,5120,Black Tea Pokémon,0
336,Polteageist,Weak Armor,NaN,Cursed Body,ghost,NaN,60,65,65,134,114,70,0.4,0.2,0.9,0.667,60,5120,Black Tea Pokémon,0
337,Indeedee,Inner Focus,Synchronize,Psychic Surge,psychic,normal,60,65,55,105,95,95,28,0.9,61.7,2.917,30,10240,Emotion Pokémon,0
338,Phantump,Natural Cure,Frisk,Harvest,ghost,grass,43,70,48,50,60,38,7,0.4,15.4,1.333,120,5120,Stump Pokémon,0
339,Trevenant,Natural Cure,Frisk,Harvest,ghost,grass,85,110,76,65,82,56,71,1.5,156.5,4.917,60,5120,Elder Tree Pokémon,0
340,Morelull,Illuminate,Effect Spore,Rain Dish,grass,fairy,40,35,55,65,75,15,1.5,0.2,3.3,0.667,190,5120,Illuminating Pokémon,0
341,Shiinotic,Illuminate,Effect Spore,Rain Dish,grass,fairy,60,45,80,90,100,30,11.5,1,25.4,3.25,75,5120,Illuminating Pokémon,0
342,Oranguru,Inner Focus,Telepathy,Symbiosis,normal,psychic,90,60,80,90,110,60,76,1.5,167.5,4.917,45,5120,Sage Pokémon,0
343,Passimian,Receiver,NaN,Defiant,fighting,NaN,100,120,90,40,60,80,82.8,2,182.5,6.583,45,5120,Teamwork Pokémon,0
344,Morpeko,Hunger Switch,NaN,NaN,electric,dark,58,95,58,70,58,97,3,0.3,6.6,1,180,2560,Two-Sided Pokémon,0
345,Falinks,Battle Armor,NaN,Defiant,fighting,NaN,65,100,100,70,60,75,62,3,136.7,9.833,45,6400,Formation Pokémon,0
346,Drampa,Berserk,Sap Sipper,Cloud Nine,normal,dragon,78,60,85,135,91,36,185,3,407.8,9.833,70,5120,Placid Pokémon,0
347,Turtonator,Shell Armor,NaN,NaN,fire,dragon,60,78,135,91,85,36,212,2,467.4,6.583,70,5120,Blast Turtle Pokémon,0
348,Togedemaru,Iron Barbs,Lightning Rod,Sturdy,electric,steel,65,98,63,40,73,96,3.3,0.3,7.3,1,180,2560,Roly-Poly Pokémon,0
349,Snom,Shield Dust,NaN,Ice Scales,ice,bug,30,25,35,45,30,20,3.8,0.3,8.4,1,190,5120,Worm Pokémon,0
350,Frosmoth,Shield Dust,NaN,Ice Scales,ice,bug,70,65,60,125,90,65,42,1.3,92.6,4.25,75,5120,Frost Moth Pokémon,0
351,Clobbopus,Limber,NaN,Technician,fighting,NaN,50,68,60,50,50,32,4,0.6,8.8,2,180,6400,Tantrum Pokémon,0
352,Grapploct,Limber,NaN,Technician,fighting,NaN,80,118,90,70,80,42,39,1.6,86,5.25,45,6400,Jujitsu Pokémon,0
353,Pincurchin,Lightning Rod,NaN,Electric Surge,electric,NaN,48,101,95,91,85,15,1,0.3,2.2,1,75,5120,Sea Urchin Pokémon,0
354,Mantyke,Swift Swim,Water Absorb,Water Veil,water,flying,45,20,50,60,120,50,65,1,143.3,3.25,25,6400,Kite Pokémon,0
355,Mantine,Swift Swim,Water Absorb,Water Veil,water,flying,85,40,70,80,140,70,220,2.1,485,6.917,25,6400,Kite Pokémon,0
356,Wailmer,Water Veil,Oblivious,Pressure,water,NaN,130,70,35,70,35,60,130,2,286.6,6.583,125,10240,Ball Whale Pokémon,0
357,Wailord,Water Veil,Oblivious,Pressure,water,NaN,170,90,45,90,45,60,398,14.5,877.4,47.583,60,10240,Float Whale Pokémon,0
358,Bergmite,Own Tempo,Ice Body,Sturdy,ice,NaN,55,69,85,32,35,28,99.5,1,219.4,3.25,190,5120,Ice Chunk Pokémon,0
359,Avalugg,Own Tempo,Ice Body,Sturdy,ice,NaN,95,117,184,44,46,28,505,2,1113.3,6.583,55,5120,Iceberg Pokémon,0
360,Dhelmise,Steelworker,NaN,NaN,ghost,grass,70,131,100,86,90,40,210,3.9,463,12.833,25,6400,Sea Creeper Pokémon,0
361,Lapras,Water Absorb,Shell Armor,Hydration,water,ice,130,85,80,85,95,60,220,2.5,485,8.167,45,10240,Transport Pokémon,0
